0.005,0.9,4,256,250,10,104,0.00401990655553488
0.005,0.9,4,256,250,10,1256,0.004393716269932421
0.005,0.9,4,256,250,10,259,0.00397538609021075
0.005,0.9,4,256,500,10,259,0.003489137308362705
0.005,0.9,4,256,500,10,104,0.0038987829743763924
0.005,0.9,4,256,250,10,2005,0.003965143150068606
0.005,0.9,4,256,1000,10,104,0.003131446591818239
0.005,0.9,4,256,500,10,1256,0.0035813850505066617
0.005,0.9,4,256,500,10,2005,0.003267579546840186
0.005,0.9,4,256,1000,10,259,0.0033811088239066537
0.005,0.9,4,256,1000,10,2005,0.003296641249890041
0.005,0.9,4,256,1000,10,1256,0.003603275564391082
0.005,0.9,4,512,250,10,1256,0.0040374389046864845
0.005,0.9,4,512,250,10,259,0.003712304589644965
0.005,0.9,4,512,250,10,104,0.003994216657372842
0.005,0.9,4,512,500,10,259,0.003392440780281085
0.005,0.9,4,512,500,10,104,0.003372016709916543
0.005,0.9,4,512,250,10,2005,0.0037423194028393123
0.005,0.9,4,512,1000,10,104,0.0031329239762936684
0.005,0.9,4,512,500,10,2005,0.003366111453486707
0.005,0.9,4,512,500,10,1256,0.0035812280645176305
0.005,0.9,4,512,1000,10,1256,0.0033704404142472777
0.005,0.9,4,512,1000,10,259,0.003279902434559631
0.005,0.9,4,512,1000,10,2005,0.0029423555078204678
0.005,0.9,6,256,250,10,1256,0.004097718850524584
0.005,0.9,6,256,250,10,259,0.003902508046004588
0.005,0.9,6,256,250,10,104,0.004073785125010951
0.005,0.9,6,256,500,10,104,0.0034135748859150964
0.005,0.9,6,256,500,10,259,0.003323403867767846
0.005,0.9,6,256,250,10,2005,0.003846284038075551
0.005,0.9,6,256,1000,10,104,0.002834886469461537
0.005,0.9,6,256,500,10,1256,0.003344209341103712
0.005,0.9,6,256,500,10,2005,0.0031322718739792226
0.005,0.9,6,256,1000,10,2005,0.0031509927919021745
0.005,0.9,6,256,1000,10,259,0.003353306036443849
0.005,0.9,6,256,1000,10,1256,0.003251299880406927
0.005,0.9,6,512,250,10,1256,0.004564432357046447
0.005,0.9,6,512,250,10,259,0.00462259806829103
0.005,0.9,6,512,250,10,104,0.004364284687987503
0.005,0.9,6,512,500,10,259,0.0033830086320567154
0.005,0.9,6,512,500,10,104,0.003248677940734882
0.005,0.9,6,512,250,10,2005,0.004139868424745851
0.005,0.9,6,512,1000,10,104,0.0030035258719789053
0.005,0.9,6,512,500,10,1256,0.0034839086912838747
0.005,0.9,6,512,500,10,2005,0.0036855764654147383
0.005,0.9,6,512,1000,10,1256,0.003248145262154817
0.005,0.9,6,512,1000,10,259,0.0028443964371584903
0.005,0.9,6,512,1000,10,2005,0.003050674026974308
0.005,0.9,8,256,250,10,1256,0.004860743578793251
0.005,0.9,8,256,250,10,104,0.00489457273449344
0.005,0.9,8,256,250,10,259,0.00467134921993045
0.005,0.9,8,256,500,10,104,0.003663638921006355
0.005,0.9,8,256,500,10,259,0.003634078721106967
0.005,0.9,8,256,250,10,2005,0.0044584175131702495
0.005,0.9,8,256,1000,10,104,0.0029592918522270803
0.005,0.9,8,256,500,10,2005,0.003486570425442179
0.005,0.9,8,256,500,10,1256,0.0033730181746455
0.005,0.9,8,256,1000,10,259,0.0033418324999369333
0.005,0.9,8,256,1000,10,1256,0.003128296777745315
0.005,0.9,8,256,1000,10,2005,0.003336541081370482
0.005,0.9,8,512,250,10,1256,0.005635400310780781
